question,answer
 Đặc điểm nổi bật của truyền kì?, Sự kết hợp giữa yếu tố kì và yếu tố thực
 Nội dung chính của chuyện “Chức phán sự đền Tản Viên”?, A và C đúng
" Thể loại truyện kể xa xưa nhất, thể hiện quan niệm về vũ trụ và khát vọng chinh phục thế giới tự nhiên của con người thời nguyên thủy: ", Thần thoại 
 Thần thoại có cốt truyện như thế nào?, Cốt truyện đơn tuyến
 Truyện thần thoại gồm những nhóm nào?, Thần thoại suy nguyên; Thần thoại sáng tạo
 Thời gian trong thần thoại là:, Thời gian phiếm chỉ
 Nhân vật chính trong thần thoại là?, Các vị thần
 Điều gì làm nên Sức hấp dẫn của truyện thần thoại?," Đặc sắc nghệ thuật và giá trị nội dung, tư tưởng. "
" Thể loại văn học dân gian nào nhằm giải thích, phản ánh nhận thức, cách hình dung của người thời cổ về nguồn gốc thế giới và đời sống con người?", Thần thoại
 Văn bản Thần Trụ Trời thuộc loại văn bản nào?, Thần thoại
" Trong văn bản Thần Trụ Trời, tác giả đã nhắc đến những vị thần nào?"," Ông Đếm sao, ông Tát bể, ông Kể sao, ông Đào sông, ông Xây rú, ông Trụ Trời"
" Theo văn bản Thần Trụ Trời, vị thần Trụ Trời sau này được gọi là gì?", Cả A và B đều đúng
 Thần thoại và sử thi giống nhau ở điểm nào?, Đều kể về các vị thần
" “Thể loại tự sự bằng văn xuôi, kể lại sự tích các vị thần sáng tạo thế giới tự nhiên và văn hóa, phản ánh nhận thức, cách hình dung của người thời cổ về nguồn gốc thế giới và đời sống con người.” là thể loại nào?", Thần thoại.
 Nguyễn Tuân bắt đầu sự nghiệp văn chương khi nào?, Sau khi ra tù.
 Truyện ngắn “Chữ người tử tù” của Nguyễn Tuân trích từ tập nào sau đây?, Vang bóng một thời.  
 Nghệ thuật đặc sắc trong tác phẩm được thể hiện ở:, Tất cả đều đúng.
 Giá trị nội dung của tác phẩm Chữ người tử tù là:, Tất cả các đáp án trên.
 Để làm tốt bài nghị luận về tác phẩm truyện (hoặc đoạn trích) cần vận dụng các phép lập luận nào?, Tất cả các phương án trên.
 Ý nào sau đây không đúng khi nói về đặc điểm của bài văn nghị luận tác phẩm truyện hoặc đoạn trích:, Các nhận xét đánh giá của truyện xuất phát từ suy nghĩ chủ quan của người viết
 Một bài nghị luận về tác phẩm truyện (hoặc đoạn trích) gồm mấy phần?, 3 phần.
 Phần mở bài của bài nghị luận về tác phẩm truyện (hoặc đoạn trích) cần có nội dung nào sau đây?, Giới thiệu tác phẩm và nêu ý kiến đánh giá.
 Thần thoại gồm có mấy nhóm? , 2
 Thần thoại bao gồm những nhóm nào? ," Thần thoại suy nguyên, thần thoại sáng tạo "
 Nghĩa của từ “tân binh” là gì? , Người lính mới 
 Từ ghép Hán Việt có mấy loại chính? , Hai 
 Từ nào trong các câu dưới đây có sử dụng từ Hán Việt?, Xã tắc 
"""Xã tắc hai phen chồn ngựa đá"," Phòng gian, ái quốc, thủ môn, chiến thắng."
"Non sông nghìn thuở vững âu vàng."""," Là từ được mượn từ tiếng Hán, trong đó tiếng để cấu tạo từ Hán Việt được gọi là yếu tố Hán Việt "
" Dòng nào sau đây chỉ gồm những từ Hán Việt có yếu tố chính đứng trước, yếu tố phụ đứng sau?", Đúng 
 Từ Hán Việt là những từ như thế nào? , Các nhận xét đánh giá của truyện xuất phát từ suy nghĩ chủ quan của người viết
" Khi sử dụng từ mượn Hán Việt cần chú ý tới ngữ cảnh sử dụng, mục đích và đối tượng giao tiếp, tránh việc lạm dụng từ Hán Việt, đúng hay sai? ", 3 phần
 Ý nào sau đây không đúng khi nói về đặc điểm của bài văn nghị luận tác phẩm truyện hoặc đoạn trích:, Giới thiệu tác phẩm và nêu ý kiến đánh giá.
 Một bài nghị luận về tác phẩm truyện (hoặc đoạn trích) gồm mấy phần?," Nêu nhận định, đánh giá."
 Phần mở bài của bài nghị luận về tác phẩm truyện (hoặc đoạn trích) cần có nội dung nào sau đây?," Lời văn gợi cảm, trau chuốt."
 Đâu là nhiệm vụ của kết bài trong văn nghị luận về tác phẩm truyện (hoặc đoạn trích) là gì?," Giới thiệu về tác giả Nam Cao, tác phẩm Lão Hạc và nhân vật ông Giáo."
 Dòng nào sau đây không phải là yêu cầu chính của bài nghị luận về tác phẩm truyện (hoặc đoạn trích)?, Đánh giá chung về vấn đề nghị luận.
